id,instruction,context,dolly_category,tag,tag_reason
1,"Given this paragraph about Arlington, Virginia, what are the 3 public high schools in Arlington?","Arlington Public Schools operates the county's public K-12 education system of 22 elementary schools; 6 middle schools (Dorothy Hamm Middle School, Gunston Middle School, Kenmore Middle School, Swanson Middle School, Thomas Jefferson Middle School, and Williamsburg Middle School); and 3 public high schools (Wakefield High School, Washington-Liberty High School, and Yorktown High School). H-B Woodlawn and Arlington Tech are alternative public schools. Arlington County spends about half of its local revenues on education. For the FY2013 budget, 83 percent of funding was from local revenues, and 12 percent from the state. Per pupil expenditures are expected to average $18,700, well above its neighbors, Fairfax County ($13,600) and Montgomery County ($14,900).",,closeqa,问题要求从文本中提取明确列出的3所公立高中，答案唯一且可直接从材料中获得。
10,Which club has won the most number of UEFA Champions League?,"The UEFA Champions League is a seasonal football competition established in 1955. Prior to the 1992–93 season, the tournament was named the European Cup. The UEFA Champions League is open to the league champions of all UEFA (Union of European Football Associations) member associations (except Liechtenstein, which has no league competition), as well as to the clubs finishing from second to fourth position in the strongest leagues. Originally, only the champions of their respective national league and the defending champions of the competition were allowed to participate. However, this was changed in 1997 to allow the runners-up of the stronger leagues to compete as well, and again in 1999 when third and fourth-placed teams of the said leagues also became eligible. In the Champions League era, the defending champions of the competition did not automatically qualify until the rules were changed in 2005 to allow title holders Liverpool to enter the competition.

Teams that have won the UEFA Champions League three consecutive times, or five times overall, receive a multiple-winner badge. Six teams have earned this privilege: Real Madrid, Ajax, Bayern Munich, Milan, Liverpool, and Barcelona. Until 2009, clubs that had earned that badge were allowed to keep the European Champion Clubs' Cup and a new one was commissioned; since 2009, the winning team each year has received a full-size replica of the trophy, while the original is retained by UEFA.

A total of 22 clubs have won the Champions League/European Cup. Real Madrid hold the record for the most victories, having won the competition fourteen times, including the inaugural edition. They have also won the competition the most consecutive times, with five straight titles from 1956 to 1960. Juventus have been runners-up the most times, losing seven finals. Atlético Madrid is the only team to reach three finals without having won the trophy while Reims and Valencia have finished as runners-up twice without winning. Spain has provided the most champions, with nineteen wins from two clubs. England have produced fourteen winners from five clubs and Italy have produced twelve winners from three clubs. English teams were banned from the competition for five years following the Heysel disaster in 1985. The current champions are Real Madrid, who beat Liverpool 1–0 in the 2022 final for a record-extending fourteenth title.",,closeqa,问题询问哪个俱乐部赢得最多欧冠冠军，答案明确且唯一（皇家马德里），可通过文本直接提取。
11,How many series did Dance Mums air?,"Dance Mums with Jennifer Ellison is a British reality television series that made its debut on Lifetime on 20 October 2014. Created by Shiver Productions, it is set in Liverpool, England, at Jelli Studios and follows the early careers of children in dance and show business, as well as the participation of their mothers. It is a spin-off of the American TV series Dance Moms.

The second series began airing on 12 October 2015, but the show was not commissioned for a third series.",,closeqa,问题询问具体数量，答案可从文本直接获取
12,"Given a reference text about the blackbuck, tell me how big the males are.","The blackbuck (Antilope cervicapra), also known as the Indian antelope, is an antelope native to India and Nepal. It inhabits grassy plains and lightly forested areas with perennial water sources. It stands up to 74 to 84 cm (29 to 33 in) high at the shoulder. Males weigh 20–57 kg (44–126 lb), with an average of 38 kg (84 lb). Females are lighter, weighing 20–33 kg (44–73 lb) or 27 kg (60 lb) on average. Males have 35–75 cm (14–30 in) long corkscrew horns, and females occasionally develop horns, as well. The white fur on the chin and around the eyes is in sharp contrast with the black stripes on the face. Both sexes’ coats feature a two-tone colouration; in males, the majority of the body is dark brown to black, with white circles around the eyes, white ears and tail, and the belly, lower jaw, and inner legs also white. Females and juveniles are yellowish-fawn to tan and display the same white areas, only with more of a beige tone than the males. Females also feature a more pronounced horizontal white side-stripe, starting around the shoulder and ending at the rump. The blackbuck is the sole living member of the genus Antilope and was scientifically described by Carl Linnaeus in 1758. Two subspecies are recognized.",,closeqa,问题询问具体数值信息，答案可从文本直接提取
13,"Given a reference text about the Build Back Better Plan, what are the 3 parts that make up the plan?","The Build Back Better Plan or Build Back Better agenda was a legislative framework proposed by U.S. president Joe Biden between 2020 and 2021. Generally viewed as ambitious in size and scope, it sought the largest nationwide public investment in social, infrastructural, and environmental programs since the 1930s Great Depression-era policies of the New Deal.

The Build Back Better plan was divided into three parts:

American Rescue Plan (ARP), a COVID-19 pandemic-relief bill;
American Jobs Plan (AJP), a proposal to address long-neglected infrastructure needs and reduce America's contributions to destructive effects of climate change; and
American Families Plan (AFP), a proposal to fund a variety of social policy initiatives, some of which (e.g., paid family leave) had never before been enacted nationally in the U.S.
The first part was passed as the $1.9 trillion American Rescue Plan Act of 2021, and was signed into law in March 2021. The other two parts were reworked into different bills over the course of extensive negotiations. Aspects of the AJP's infrastructure goals were diverted into the Infrastructure Investment and Jobs Act, which was signed into law in November 2021. Other AJP priorities (e.g., climate change remediation, home health care reform, etc.) were then merged with the AFP to form the Build Back Better Act. The bill passed the Democratic-controlled House of Representatives but struggled to gain the support of Democrats Joe Manchin of West Virginia and Kyrsten Sinema of Arizona in the evenly divided Senate, with unified Republican opposition. Manchin and Sinema negotiated the reduction of Build Back Better Act's size, scope, and cost significantly with Biden and Democratic congressional leaders, but Manchin, widely viewed as the key swing vote needed to pass the bill in the Senate, ultimately rejected it over the procedural tactics used. Continued negotiations between Manchin and Senate Majority Leader Chuck Schumer eventually resulted in the Inflation Reduction Act of 2022, which was signed into law in August 2022, and incorporated some of the Build Back Better Act's climate change, healthcare, and tax reform proposals while excluding its social safety net proposals.",,closeqa,问题要求从给定文本中提取明确的、具体的三部分构成，答案唯一且可直接找到。
14,How long does it take to recover from a sinus infection?,"Generally sinusitis starts off as a common viral infection like common cold. This infection generally subsides within 5 to 7 days. During this time the nasal structures can swell and facilitate the stagnation of fluids in sinuses that leads to acute sinusitis which lasts from 6th day of the infection to 15th day. From the 15th day to 45th day of the infection comes the subacute stage followed by chronic stage. Whenever a chronic stage patient's immunity takes a hit the infection moves to ""acute on sinusitis"" stage and moves back to chronic when the immunity is up.",,closeqa,问题询问具体时间范围，答案可通过文本中明确的时间信息直接得出。
15,"Given this paragraph about the Southwestern United States, name the largest cities in that area","The Southwestern United States, also known as the American Southwest or simply the Southwest, is a geographic and cultural region of the United States. Its exact boundaries are not officially defined, but attempts to do so generally include Arizona and New Mexico as the core of the region. Adjacent portions of California, Colorado, Nevada, and Utah are also sometimes included. Oklahoma and Texas may also be included, particularly the trans-pecos ""horn"" portion of the state(i.e. the far western extension of the state of the state south of the New Mexico border, but west and north of the Pecos and Rio Gande Rivers). The largest cities by metropolitan area are Phoenix, Las Vegas, El Paso, Albuquerque, and Tucson. Before 1848, in the historical region of Santa Fe de Nuevo México as well as parts of Alta California and Coahuila y Tejas, settlement was almost non-existent outside of Nuevo México's Pueblos and Spanish or Mexican municipalities. Much of the area had been a part of New Spain and Mexico until the United States acquired the area through the Treaty of Guadalupe Hidalgo in 1848 and the smaller Gadsden Purchase in 1854.",,closeqa,明确要求从文本中提取已列出的最大城市名称，答案固定且可直接从材料中获得。
16,"Given a reference text about Richard Brandon Morris, tell me what when and where he was born as well as the different colleges and universities he attended.","Richard Brandon Morris (July 24, 1904 – March 3, 1989) was an American historian best known for his pioneering work in colonial American legal history and the early history of American labor. In later years, he shifted his research interests to the constitutional, diplomatic, and political history of the American Revolution and the making of the United States Constitution.

Background
Richard Brandon Morris was born on July 24, 1904, in New York City. He attended high school at Towsend Harris Hall in New York City. In 1924, he received a BA degree from City College. In 1925, he received an MA from Columbia University, and in 1930 he received a PhD in history at the university with Evarts Boutell Greene as his dissertation advisor. Morris' dissertation, published by Columbia University Press as Studies in the History of American Law, with Special Reference to the Seventeenth and Eighteenth Centuries (1930), still defines the research agenda for historians working on early American law, though at the time it attracted bitter denunciations from law school practitioners of legal historym, including Julius Goebel, Jr. and Karl Llewellyn, both then Columbia Law School faculty members.",,information_extraction,从文本中抽取结构化信息（出生时间、地点、教育经历）
17,Why is JDAM so cost effective?,"The Joint Direct Attack Munition (JDAM) is a guidance kit that converts unguided bombs, or ""dumb bombs"", into all-weather precision-guided munitions. JDAM-equipped bombs are guided by an integrated inertial guidance system coupled to a Global Positioning System (GPS) receiver, giving them a published range of up to 15 nautical miles (28 km). JDAM-equipped bombs range from 500 to 2,000 pounds (230 to 910 kg). The JDAM's guidance system was jointly developed by the United States Air Force and United States Navy, hence the ""joint"" in JDAM. When installed on a bomb, the JDAM kit is given a GBU (Guided Bomb Unit) identifier, superseding the Mark 80 or BLU (Bomb, Live Unit) nomenclature of the bomb to which it is attached.

The JDAM is not a stand-alone weapon; rather it is a ""bolt-on"" guidance package that converts unguided gravity bombs into precision-guided munitions (PGMs). The key components of the system consist of a tail section with aerodynamic control surfaces, a (body) strake kit, and a combined inertial guidance system and GPS guidance control unit.

The JDAM was meant to improve upon laser-guided bomb and imaging infrared technology, which can be hindered by bad ground and weather conditions. Laser seekers are now being fitted to some JDAMs.",,open_qa,提问涉及对JDAM成本效益的原因分析，需结合背景知识开放探讨
18,During which year Emperor Shapur II learned to play polo?,"The game's English name derives from the Balti language, from its word for 'ball', polo. It is cognate with the Standard Tibetan pulu, also meaning 'ball'.

Although the exact origins of the game are not certain, many scholars suggest it most likely began as a simple game played by Iranic and Turkic equestrian nomads in Central Asia. An archaic variation of polo, regionally referred to as buzkashi or kokpar, is still played in parts of Central Asia. It was developed and formalised in Ancient Iran (Persia) as ""chovgan"" (čowgān), becoming a national sport played extensively by the nobility. Women played as well as men. During the period of the Parthian Empire (247 BC to 224 AD), the sport had great patronage under the kings and noblemen. According to The Oxford Dictionary of Late Antiquity, the Persian ball game was an important pastime in the court of the Sasanian Empire (224–651). It was also part of the royal education for the Sasanian ruling class. Emperor Shapur II learnt to play polo at age seven in 316 AD.",,closeqa,问题询问具体年份，答案可直接从文本中明确提取。
